ciudad_casa,ubicacion,zona,ventaoalquiler,descripespecif,metrajeconstruc,metrajeterreno,precio,unidadterreno,seguridad,piscina/jacuzzi,terraza,baños,parqueo,financiamiento,zon_comercial,areasocial
Salinas,A Una Cuadra De La Playa,península & ruta del sol,ALQUILER,Villa,150.0,500.0,600.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Ciudad Celeste,gquil - samborondón,VENTA,Casa,167.0,180.0,120000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
GUAYAQUIL,Calles 6 De Marzo Y Francisco Segura Esquina,gquil - sur,VENTA,CASA,600.0,2000.0,320000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Ciudad Celeste,gquil - samborondón,VENTA,Casa,150.0,189.0,118000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,1.0
Guayaquil,Urb. Portofino (km 11.5),gquil - ceibos & vía a la costa,VENTA,Casa,195.0,307.0,144950.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 11,gquil - samborondón,VENTA,Villa,127.0,161.0,90000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Via Samborondon Km 5,gquil - samborondón,VENTA,Casa,250.0,290.0,190000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Muy Cerca Torres Norte,gquil - norte,VENTA,Villa,598.0,694.0,480000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Muy Cerca Torres Norte,gquil - norte,ALQUILER,Villa,598.0,520.0,3300.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Quito,Eloy Alfaro,quito - norte,VENTA,Casa,350.0,700.0,260000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
GUAYAQUIL,Sector Totalmente Cerrado,gquil - ceibos & vía a la costa,VENTA,CASA,600.0,450.0,200000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Santa Elena,Sector Museo Amantes De Zumpa,península & ruta del sol,VENTA,Casa,256.0,360.0,42000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Vía Samborondón,gquil - samborondón,VENTA,Villa,236.0,405.0,188000.0,m2,0,0.0,0.0,1,0.0,0.0,0.0,1.0
Guayaquil,Aura,gquil - samborondón,VENTA,Villa,111.0,140.0,75000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
